Subject;RTPC.2017;SBP.2017;UPCO.2017;CBE.2016;RIOP.2017
Белгородская область;203298;150;96.7;85180.6;98.9
Брянская область;192775;107;96.7;57338.3;99
Владимирская область;153088;141;91.9;60359.6;100.6
Воронежская область;221302;158;99.8;104595.4;95.9
Ивановская область;153993;204;97.2;38486.9;100
Калужская область;183549;144;96.2;62966.4;93.8
Костромская область;150715;153;93.6;30946.8;99
Курская область;176208;100;91.9;54858.7;98.4
Липецкая область;205496;126;95.2;62152.1;99.4
Московская область ;280515;169;91.5;543726.4;99.2
Орловская область;166013;122;94.7;35874.6;99.2
Рязанская область;160126;167;95.6;52361.9;96.2
Смоленская область;166359;180;96.8;45224.2;99.8
Тамбовская область;187776;106;97.2;53927.5;95.8
Тверская область;167510;161;89.5;60481.9;97
Тульская область;182993;148;89.4;80261.5;97.5
Ярославская область;177015;226;94.8;70591.8;95.6
г. Москва;363391;445;100;1746049.4;101.6
Республика Карелия;180295;206;95.6;41940.9;99.8
Республика Коми;177599;132;92.9;78123.7;94.7
Архангельская область;217332;127;92.8;81717.5;98.1
Ненецкий автономный округ;214927;91;95.3;62535.4;98.8
Вологодская область;217332;224;97.2;88326.4;93.6
Калинингpадская область;145711;329;94.4;133820.4;99.9
Ленинградская область;158572;95;98.5;70141.2;100.2
Мурманская область;205604;154;94;33350;98
Новгородская область;216425;133;96.8;31693.5;96.8
Псковская область;183565;155;90.8;505195.5;100.1
г. Санкт-Петербург;166753;439;98.2;17921.6;99.3
Республика Адыгея;190240;83;94.5;17675.4;100.5
Республика Калмыкия;70974;67;89.7;12196.4;97.9
Республика Крым;120177;116;100;131317.8;106.6
Краснодарский край;233909;145;93.4;260865.8;97.9
Астраханская область;163829;98;93.8;40457.8;95.9
Волгоградская область;145186;114;82.9;108067.2;98.8
Ростовская область;208339;128;85.1;186359.2;98.7
г. Севастополь;146264;181;69.6;25334.2;99.5
Республика Дагестан;226126;21;72.5;96253.1;100.9
Республика Ингушетия;46464;31;100;27795.4;99.7
Кабардино-Балкарская Республика;143289;58;91.5;34117.4;98.5
Карачаево-Черкесская Республика;79498;53;92.3;21895.9;97.8
Республика Северная Осетия – Алания;156186;57;90.7;26181.4;98.4
Чеченская Республика;111074;20;96.9;71247.8;95.3
Ставропольский край;170837;93;98.1;103763.8;100.1
Республика Башкортостан;206913;127;96.6;185071.7;98.2
Республика Марий Эл;119956;142;89.1;27631.2;98
Республика Мордовия;108326;88;82;46445.8;99.6
Республика Татарстан;216965;193;99.8;261510.4;94.9
Удмуртская Республика;146183;169;90.4;81509.8;97.1
Чувашская Республика;115272;133;92.8;47131.3;97.5
Пермский край;191175;184;92.5;133694.1;98
Кировская область;143191;179;92.8;57766.5;98
Нижегородская область;215014;190;97.2;168849.4;95.9
Оренбургская область;148210;108;96.4;91589;99.4
Пензенская область;149020;119;96.6;55394.9;99.6
Самарская область;191827;216;80.9;178805.6;97.5
Саратовская область;134843;116;82.4;93205.3;99
Ульяновская область;142641;151;91.4;56944;98.6
Курганская область;127864;97;85.5;40739.4;97
Свердловская область;249170;241;95.8;247491;96.8
Тюменская область;237939;215;88;138061.1;98.6
Ханты-Мансийский автономный округ – Югра;239076;135;94.3;155482.3;97.3
Ямало-Ненецкий автономный округ;237608;100;89.8;254905;101.4
Челябинская область;140782;200;93.7;162648.4;96.7
Республика Алтай;112034;137;97.7;17142.9;101.5
Республика Бурятия;173586;113;88.2;54063.8;96.9
Республика Тыва;69158;34;89.8;23539.4;97.5
Республика Хакасия;147255;104;91.6;33687.4;98.1
Алтайский край;143873;147;91.8;94291.4;98.9
Забайкальский край;147016;70;97.2;55405.2;97.7
Красноярский край;177692;177;93.2;238822.4;97.3
Иркутская область;133790;160;93.3;152046.7;96.9
Кемеровская область;131401;116;89.1;141464.5;99.8
Новосибирская область;170030;296;81.9;146689.2;97.3
Омская область;161071;156;84.4;89147;96.9
Томская область;135732;205;76.6;67738.4;97
Республика Саха (Якутия);220700;117;95.8;203726.7;97.4
Камчатский край;171259;182;98.6;72624.4;99.3
Приморский край;195525;222;87.9;108222;98.8
Хабаровский край;231134;208;94.9;106429.5;97
Амурская область;202038;128;91.6;54292.8;100.1
Магаданская область;213558;168;94.3;33755.5;101.3
Сахалинская область;289573;182;95.8;159270.4;95.2
Еврейская автономная область;138444;80;91.8;12090.2;93.4
Чукотский автономный округ;183781;74;94.3;30162.5;103.7
